ts_utc,ccy,spread_pct,ccy_mean_spread_pct,spread_ratio,n_prior_readings
2026-09-03T13:05:38.995982+00:00,LBP,0.9714,,,22
2026-09-03T14:05:36.405350+00:00,EGP,-0.4286,,,23
2026-09-03T14:05:36.405350+00:00,PKR,0.3033,,,23
2026-09-03T14:05:36.405350+00:00,BDT,0.5633,,,23
2026-09-03T14:05:36.405350+00:00,VND,0.0678,,,23
2026-09-03T14:05:36.405350+00:00,KES,0.3132,,,23
2026-09-03T14:05:36.405350+00:00,BOB,0.4027,,,23
2026-09-03T14:05:36.405350+00:00,LBP,0.9659,,,23
2026-09-03T15:06:01.442240+00:00,EGP,-0.4386,,,24
2026-09-03T15:06:01.442240+00:00,PKR,0.2386,,,24
2026-09-03T15:06:01.442240+00:00,BDT,0.5396,,,24
2026-09-03T15:06:01.442240+00:00,VND,0.0968,,,24
2026-09-03T15:06:01.442240+00:00,KES,0.1817,,,24
2026-09-03T15:06:01.442240+00:00,BOB,0.4831,,,24
2026-09-03T15:06:01.442240+00:00,LBP,1.066,,,24
2026-09-03T16:05:32.771508+00:00,EGP,-0.1657,,,25
2026-09-03T16:05:32.771508+00:00,PKR,0.2173,,,25
2026-09-03T16:05:32.771508+00:00,BDT,0.5553,,,25
2026-09-03T16:05:32.771508+00:00,VND,0.0832,,,25
2026-09-03T16:05:32.771508+00:00,KES,0.3019,,,25
2026-09-03T16:05:32.771508+00:00,BOB,0.4024,,,25
2026-09-03T16:05:32.771508+00:00,LBP,1.263,,,25
2026-09-03T17:05:34.601046+00:00,EGP,0.0975,,,26
2026-09-03T17:05:34.601046+00:00,PKR,0.2156,,,26
2026-09-03T17:05:34.601046+00:00,BDT,0.1258,,,26
2026-09-03T17:05:34.601046+00:00,VND,0.1298,,,26
2026-09-03T17:05:34.601046+00:00,KES,0.3289,,,26
2026-09-03T17:05:34.601046+00:00,BOB,0.4424,,,26
2026-09-03T17:05:34.601046+00:00,LBP,1.263,,,26
2026-09-03T18:05:35.351369+00:00,EGP,-0.0195,,,27
2026-09-03T18:05:35.351369+00:00,PKR,0.2316,,,27
2026-09-03T18:05:35.351369+00:00,BDT,0.346,,,27
2026-09-03T18:05:35.351369+00:00,VND,0.155,,,27
2026-09-03T18:05:35.351369+00:00,KES,0.321,,,27
2026-09-03T18:05:35.351369+00:00,BOB,0.4031,,,27
2026-09-03T18:05:35.351369+00:00,LBP,1.597,,,27
2026-09-03T19:05:38.033529+00:00,EGP,0.0585,,,28
2026-09-03T19:05:38.033529+00:00,PKR,0.1386,,,28
2026-09-03T19:05:38.033529+00:00,BDT,0.3579,,,28
2026-09-03T19:05:38.033529+00:00,VND,0.1298,,,28
2026-09-03T19:05:38.033529+00:00,KES,0.3287,,,28
2026-09-03T19:05:38.033529+00:00,BOB,0.4031,,,28
2026-09-03T19:05:38.033529+00:00,LBP,1.6027,,,28
2026-09-03T20:05:30.262324+00:00,EGP,0.078,,,29
2026-09-03T20:05:30.262324+00:00,PKR,0.1947,,,29
2026-09-03T20:05:30.262324+00:00,BDT,0.4723,,,29
2026-09-03T20:05:30.262324+00:00,VND,0.1628,,,29
2026-09-03T20:05:30.262324+00:00,KES,0.3365,,,29
2026-09-03T20:05:30.262324+00:00,BOB,0.4027,,,29
2026-09-03T20:05:30.262324+00:00,LBP,1.9622,,,29
2026-09-03T21:05:30.699521+00:00,EGP,0.1171,-0.1307,,30
2026-09-03T21:05:30.699521+00:00,PKR,0.1403,0.2158,0.6501,30
2026-09-03T21:05:30.699521+00:00,BDT,0.555,0.4703,1.1801,30
2026-09-03T21:05:30.699521+00:00,VND,0.1473,0.1346,1.094,30
2026-09-03T21:05:30.699521+00:00,KES,0.356,0.3864,0.9214,30
2026-09-03T21:05:30.699521+00:00,BOB,0.4024,0.5585,0.7205,30
2026-09-03T21:05:30.699521+00:00,LBP,2.753,2.7781,0.991,30
2026-09-03T22:05:30.675446+00:00,EGP,-0.0195,-0.1227,,31
2026-09-03T22:05:30.675446+00:00,PKR,0.1542,0.2134,0.7227,31
2026-09-03T22:05:30.675446+00:00,BDT,0.8746,0.473,1.849,31
2026-09-03T22:05:30.675446+00:00,VND,0.1531,0.1351,1.1336,31
2026-09-03T22:05:30.675446+00:00,KES,0.4294,0.3854,1.1142,31
2026-09-03T22:05:30.675446+00:00,BOB,0.4024,0.5534,0.7271,31
2026-09-03T22:05:30.675446+00:00,LBP,3.7561,2.7773,1.3524,31
2026-09-03T23:05:29.146984+00:00,EGP,0.0975,-0.1195,,32
2026-09-03T23:05:29.146984+00:00,PKR,0.3421,0.2115,1.6174,32
2026-09-03T23:05:29.146984+00:00,BDT,0.8981,0.4856,1.8496,32
2026-09-03T23:05:29.146984+00:00,VND,0.1512,0.1356,1.1149,32
2026-09-03T23:05:29.146984+00:00,KES,0.5644,0.3868,1.4593,32
2026-09-03T23:05:29.146984+00:00,BOB,0.5243,0.5487,0.9555,32
2026-09-03T23:05:29.146984+00:00,LBP,10.1124,2.8079,3.6014,32
2026-09-04T00:05:27.359849+00:00,EGP,0.3412,-0.1129,,33
2026-09-04T00:05:27.359849+00:00,PKR,0.3963,0.2155,1.8392,33
2026-09-04T00:05:27.359849+00:00,BDT,0.9025,0.4981,1.812,33
2026-09-04T00:05:27.359849+00:00,VND,0.1669,0.1361,1.2264,33
2026-09-04T00:05:27.359849+00:00,KES,0.6222,0.3922,1.5866,33
2026-09-04T00:05:27.359849+00:00,BOB,0.5243,0.548,0.9568,33
2026-09-04T00:05:27.359849+00:00,LBP,13.1054,3.0292,4.3263,33
2026-09-04T01:05:30.172275+00:00,EGP,0.1459,-0.0996,,34
2026-09-04T01:05:30.172275+00:00,PKR,0.3509,0.2208,1.5893,34
2026-09-04T01:05:30.172275+00:00,BDT,0.7447,0.51,1.4603,34
2026-09-04T01:05:30.172275+00:00,VND,0.1124,0.137,0.8205,34
2026-09-04T01:05:30.172275+00:00,KES,0.6915,0.3989,1.7334,34
2026-09-04T01:05:30.172275+00:00,BOB,0.4839,0.5473,0.8842,34
2026-09-04T01:05:30.172275+00:00,LBP,10.1695,3.3256,3.058,34
2026-09-04T02:05:30.367174+00:00,EGP,0.2337,-0.0925,,35
2026-09-04T02:05:30.367174+00:00,PKR,0.2824,0.2245,1.2579,35
2026-09-04T02:05:30.367174+00:00,BDT,0.5075,0.5167,0.9823,35
2026-09-04T02:05:30.367174+00:00,VND,0.0562,0.1363,0.4123,35
2026-09-04T02:05:30.367174+00:00,KES,0.7299,0.4073,1.7921,35
2026-09-04T02:05:30.367174+00:00,BOB,0.4034,0.5455,0.7396,35
2026-09-04T02:05:30.367174+00:00,LBP,15.0289,3.5211,4.2682,35
2026-09-04T03:05:28.856727+00:00,EGP,0.1364,-0.0835,,36
2026-09-04T03:05:28.856727+00:00,PKR,0.2949,0.2261,1.3042,36
2026-09-04T03:05:28.856727+00:00,BDT,0.5117,0.5164,0.9909,36
2026-09-04T03:05:28.856727+00:00,VND,0.0504,0.1341,0.3759,36
2026-09-04T03:05:28.856727+00:00,KES,0.468,0.4162,1.1244,36
2026-09-04T03:05:28.856727+00:00,BOB,0.4034,0.5415,0.7449,36
2026-09-04T03:05:28.856727+00:00,LBP,11.9658,3.8408,3.1155,36
2026-09-04T04:05:32.836028+00:00,EGP,0.3413,-0.0775,,37
2026-09-04T04:05:32.836028+00:00,PKR,0.2423,0.228,1.0628,37
2026-09-04T04:05:32.836028+00:00,BDT,0.4602,0.5163,0.8914,37
2026-09-04T04:05:32.836028+00:00,VND,0.0659,0.1318,0.5,37
2026-09-04T04:05:32.836028+00:00,KES,0.3444,0.4176,0.8246,37
2026-09-04T04:05:32.836028+00:00,BOB,0.5647,0.5378,1.0501,37
2026-09-04T04:05:32.836028+00:00,LBP,8.5847,4.0604,2.1143,37
2026-09-04T05:05:33.373197+00:00,EGP,0.2828,-0.0665,,38
2026-09-04T05:05:33.373197+00:00,PKR,0.2037,0.2284,0.8921,38
2026-09-04T05:05:33.373197+00:00,BDT,0.1258,0.5148,0.2444,38
2026-09-04T05:05:33.373197+00:00,VND,0.0678,0.1301,0.5212,38
2026-09-04T05:05:33.373197+00:00,KES,0.3135,0.4157,0.7541,38
2026-09-04T05:05:33.373197+00:00,BOB,0.5243,0.5385,0.9736,38
2026-09-04T05:05:33.373197+00:00,LBP,9.0222,4.1794,2.1587,38
