ts_utc,venue,leg,regime,tier_label,volume_threshold,volume_ccy,fee_pct,source_url,error
2026-09-21T07:20:27Z,Coins.ph,offramp,maker,VIP6,500000000.0,PHP,0.05,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Coins.ph,offramp,taker,VIP6,500000000.0,PHP,0.08,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Coins.ph,offramp,maker,VIP7,1000000000.0,PHP,0.04,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Coins.ph,offramp,taker,VIP7,1000000000.0,PHP,0.07,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Coins.ph,offramp,maker,VIP8,2000000000.0,PHP,0.04,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Coins.ph,offramp,taker,VIP8,2000000000.0,PHP,0.06,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Coins.ph,offramp,maker,VIP9,5000000000.0,PHP,0.03,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Coins.ph,offramp,taker,VIP9,5000000000.0,PHP,0.05,https://support.coins.ph/hc/en-us/articles/11620285112217-How-are-my-trading-fees-calculated-based-on-the-VIP-level-setup,
2026-09-21T07:20:27Z,Bitso,offramp,maker,0,20000.0,MXN,0.6,https://api.bitso.com/v3/available_books/,
2026-09-21T07:20:27Z,Bitso,offramp,taker,0,20000.0,MXN,0.78,https://api.bitso.com/v3/available_books/,
2026-09-21T07:20:27Z,Bitso,offramp,maker,1,100000.0,MXN,0.59,https://api.bitso.com/v3/available_books/,
2026-09-21T07:20:27Z,Bitso,offramp,taker,1,100000.0,MXN,0.76,https://api.bitso.com/v3/available_books/,
2026-09-21T07:20:27Z,Bitso,offramp,maker,2,500000.0,MXN,0.57,https://api.bitso.com/v3/available_books/,
2026-09-21T07:20:27Z,Bitso,offramp,taker,2,500000.0,MXN,0.741,https://api.bitso.com/v3/available_books/,
2026-09-21T07:20:27Z,Bitso,offramp,maker,3,1000000.0,MXN,0.56,https://api.bitso.com/v3/available_books/,
2026-09-21T07:20:27Z,Bitso,offramp,taker,3,1000000.0,MXN,0.728,https://api.bitso.com/v3/available_books/,
2026-09-21T07:20:27Z,Bitso,offramp,maker,4,1500000.0,MXN,0.55,https://api.bitso.com/v3/available_books/,
2026-09-21T07:20:27Z,Bitso,offramp,taker,4,1500000.0,MXN,0.715,https://api.bitso.com/v3/available_books/,
2026-09-21T07:20:27Z,Bitso,offramp,maker,5,5000000.0,MXN,0.5,https://api.bitso.com/v3/available_books/,
2026-09-21T07:20:27Z,Bitso,offramp,taker,5,5000000.0,MXN,0.65,https://api.bitso.com/v3/available_books/,
2026-09-21T07:20:27Z,Bitso,offramp,maker,6,50000000.0,MXN,0.45,https://api.bitso.com/v3/available_books/,
2026-09-21T07:20:27Z,Bitso,offramp,taker,6,50000000.0,MXN,0.585,https://api.bitso.com/v3/available_books/,
2026-09-21T07:20:27Z,Bitso,offramp,maker,7,150000000.0,MXN,0.2,https://api.bitso.com/v3/available_books/,
2026-09-21T07:20:27Z,Bitso,offramp,taker,7,150000000.0,MXN,0.26,https://api.bitso.com/v3/available_books/,
2026-09-21T07:20:27Z,Bitso,offramp,maker,8,9999999999.0,MXN,0.1,https://api.bitso.com/v3/available_books/,
2026-09-21T07:20:27Z,Bitso,offramp,taker,8,9999999999.0,MXN,0.13,https://api.bitso.com/v3/available_books/,
