ts_utc,notional_src,provider,landed_dst,cost_bps,rank,source_ok,error
2026-08-19T10:47:44.379740+00:00,1000,Wells Fargo,16496.09,330.91,6,True,
2026-08-19T10:47:44.379740+00:00,1000,Chase (US),16434.03,367.29,7,True,
2026-08-19T10:47:44.379740+00:00,1000,PayPal,16248.99,475.75,8,True,
2026-08-19T10:47:44.379740+00:00,5000,Xoom,84754.07,64.38,1,True,
2026-08-19T10:47:44.379740+00:00,5000,Wise,84607.04,81.61,2,True,
2026-08-19T10:47:44.379740+00:00,5000,Instarem,84580.57,84.72,3,True,
2026-08-19T10:47:44.379740+00:00,5000,OFX,84038.14,148.3,4,True,
2026-08-19T10:47:44.379740+00:00,5000,WorldRemit,83109.3,257.19,5,True,
2026-08-19T10:47:44.379740+00:00,5000,Chase (US),83010.06,268.82,6,True,
2026-08-19T10:47:44.379740+00:00,5000,Wells Fargo,82480.47,330.91,7,True,
2026-08-19T10:47:44.379740+00:00,5000,PayPal,81570.89,437.54,8,True,
2026-08-19T10:47:44.379740+00:00,25000,Wise,423518.53,70.28,1,True,
2026-08-19T10:47:44.379740+00:00,25000,Instarem,422987.84,82.72,2,True,
2026-08-19T10:47:44.379740+00:00,25000,OFX,420190.69,148.3,3,True,
2026-08-19T10:47:44.379740+00:00,25000,Chase (US),415050.31,268.82,4,True,
2026-08-19T10:47:44.379740+00:00,25000,Wells Fargo,412402.37,330.91,5,True,
2026-08-19T10:47:44.379740+00:00,50000,Wise,847577.42,63.95,1,True,
2026-08-19T10:47:44.379740+00:00,50000,Instarem,846145.67,80.73,2,True,
2026-08-19T10:47:44.379740+00:00,50000,Chase (US),840745.49,144.04,3,True,
2026-08-19T10:47:44.379740+00:00,50000,OFX,840381.38,148.3,4,True,
2026-08-19T11:42:21.402608+00:00,200,Xoom,3447.04,-102.32,1,True,
2026-08-19T11:42:21.402608+00:00,200,Instarem,3384.2,81.85,2,True,
2026-08-19T11:42:21.402608+00:00,200,Wells Fargo,3300.81,326.24,3,True,
2026-08-19T11:42:21.402608+00:00,200,WorldRemit,3294.19,345.65,4,True,
2026-08-19T11:42:21.402608+00:00,200,Wise,3270.78,414.25,5,True,
2026-08-19T11:42:21.402608+00:00,200,OFX,3250.21,474.54,6,True,
2026-08-19T11:42:21.402608+00:00,200,Chase (US),3222.29,556.36,7,True,
2026-08-19T11:42:21.402608+00:00,200,PayPal,3186.14,662.31,8,True,
2026-08-19T11:42:21.402608+00:00,1000,Xoom,17236.31,-102.97,1,True,
2026-08-19T11:42:21.402608+00:00,1000,Instarem,16920.98,81.86,2,True,
2026-08-19T11:42:21.402608+00:00,1000,Wise,16837.09,131.03,3,True,
2026-08-19T11:42:21.402608+00:00,1000,WorldRemit,16603.38,268.02,4,True,
2026-08-19T11:42:21.402608+00:00,1000,OFX,16584.38,279.16,5,True,
2026-08-19T11:42:21.402608+00:00,1000,Wells Fargo,16504.04,326.25,6,True,
2026-08-19T11:42:21.402608+00:00,1000,Chase (US),16441.94,362.65,7,True,
2026-08-19T11:42:21.402608+00:00,1000,PayPal,16256.81,471.16,8,True,
2026-08-19T11:42:21.402608+00:00,5000,Xoom,84794.88,59.59,1,True,
2026-08-19T11:42:21.402608+00:00,5000,Wise,84671.63,74.04,2,True,
2026-08-19T11:42:21.402608+00:00,5000,Instarem,84656.39,75.83,3,True,
2026-08-19T11:42:21.402608+00:00,5000,OFX,84148.28,135.39,4,True,
