ts_utc,corridor,size,provider,old_cost_pct,new_cost_pct,move_pct,n_agree,n_panel,old_day,prev_day_cost_pct,kind
2026-08-22T00:00:00+00:00,SGD->PHP,1000,PayPal,5.2973,5.0811,-0.2161,4,5,2026-08-21,5.0349,change
2026-08-22T00:00:00+00:00,SGD->PHP,5000,OFX,4.1919,4.4804,0.2886,4,5,2026-08-21,3.9787,weekend_up
2026-08-22T00:00:00+00:00,SGD->PHP,5000,PayPal,4.8133,4.5969,-0.2164,4,5,2026-08-21,4.5504,change
2026-08-22T00:00:00+00:00,SGD->PHP,25000,OFX,3.1803,3.4741,0.2939,4,5,2026-08-21,2.967,weekend_up
2026-08-22T00:00:00+00:00,SGD->PHP,25000,PayPal,4.7165,4.5001,-0.2164,4,5,2026-08-21,4.4535,change
2026-08-22T00:00:00+00:00,SGD->PHP,50000,OFX,3.1869,3.4741,0.2872,3,4,2026-08-21,2.967,weekend_up
2026-08-22T00:00:00+00:00,USD->MXN,200,OFX,4.7233,5.5652,0.8418,6,7,2026-08-21,4.9305,weekend_up
2026-08-22T00:00:00+00:00,USD->MXN,1000,OFX,2.7639,3.6282,0.8643,6,7,2026-08-21,2.9802,weekend_up
2026-08-22T00:00:00+00:00,USD->MXN,5000,OFX,1.3365,2.2026,0.8661,6,7,2026-08-21,1.545,weekend_up
2026-08-22T00:00:00+00:00,USD->MXN,25000,OFX,1.3349,2.2026,0.8677,4,5,2026-08-21,1.545,weekend_up
2026-08-22T00:00:00+00:00,USD->MXN,50000,OFX,1.3305,2.2026,0.8721,3,4,2026-08-21,1.545,weekend_up
2026-08-24T00:00:00+00:00,SGD->PHP,200,Instarem,0.8681,0.7577,-0.1104,3,4,2026-08-23,0.8423,weekend_back
2026-08-24T00:00:00+00:00,SGD->PHP,1000,OFX,5.6189,5.1885,-0.4303,4,5,2026-08-23,5.6002,weekend_back
2026-08-24T00:00:00+00:00,SGD->PHP,5000,OFX,4.4688,4.0335,-0.4353,4,5,2026-08-23,4.4502,weekend_back
2026-08-24T00:00:00+00:00,SGD->PHP,25000,OFX,3.4619,3.0222,-0.4397,4,5,2026-08-23,3.4435,weekend_back
2026-08-24T00:00:00+00:00,SGD->PHP,50000,OFX,3.4797,3.0222,-0.4575,3,4,2026-08-23,3.4435,weekend_back
2026-08-24T00:00:00+00:00,USD->MXN,200,OFX,5.4434,4.5759,-0.8675,6,7,2026-08-23,5.5379,weekend_back
2026-08-24T00:00:00+00:00,USD->MXN,200,PayPal,6.5229,6.5926,0.0697,6,7,2026-08-23,6.5918,change
2026-08-24T00:00:00+00:00,USD->MXN,1000,OFX,3.5148,2.6296,-0.8852,6,7,2026-08-23,3.6003,weekend_back
2026-08-24T00:00:00+00:00,USD->MXN,1000,PayPal,4.6018,4.6805,0.0787,6,7,2026-08-23,4.6797,change
