ts_utc,venue,ccy,usdt_mid,usdc_mid,spread_bps,source_ok,error
2026-09-02T20:05:15.321203+00:00,Coins.ph,PHP,62.525,62.535,1.6,True,
2026-09-02T20:05:15.321203+00:00,BTCTurk,TRY,48.2485,48.1785,-14.51,True,
2026-09-02T20:05:15.321203+00:00,Upbit,KRW,1375.0,1376.0,7.27,True,
2026-09-02T20:05:15.321203+00:00,Indodax,IDR,17695.5,17716.0,11.58,True,
2026-09-02T20:05:15.321203+00:00,Bitkub,THB,33.135,33.13,-1.51,True,
2026-09-02T20:05:15.321203+00:00,Bithumb,KRW,1374.5,1375.5,7.28,True,
2026-09-02T20:05:15.321203+00:00,Coinone,KRW,1374.5,1375.5,7.28,True,
2026-09-02T20:05:15.321203+00:00,Paribu,TRY,48.2065,48.196,-2.18,True,
2026-09-02T20:05:15.321203+00:00,Pintu,IDR,17697.0,17725.0,15.82,True,
2026-09-02T20:05:15.321203+00:00,Foxbit,BRL,5.12075,5.1206,-0.29,True,
2026-09-02T20:05:15.321203+00:00,MercadoBitcoin,BRL,5.11895,5.1194,0.88,True,
2026-09-02T21:05:16.704029+00:00,IndependentReserve,SGD,1.270685,1.270545,-1.1,True,
2026-09-02T21:05:16.704029+00:00,Coins.ph,PHP,62.595,62.595,0.0,True,
2026-09-02T21:05:16.704029+00:00,BTCTurk,TRY,48.2365,48.229,-1.55,True,
2026-09-02T21:05:16.704029+00:00,Upbit,KRW,1376.0,1375.0,-7.27,True,
2026-09-02T21:05:16.704029+00:00,Indodax,IDR,17695.5,17710.5,8.48,True,
2026-09-02T21:05:16.704029+00:00,Bitkub,THB,33.135,33.14,1.51,True,
2026-09-02T21:05:16.704029+00:00,Bithumb,KRW,1375.5,1376.5,7.27,True,
2026-09-02T21:05:16.704029+00:00,Coinone,KRW,1375.5,1376.5,7.27,True,
2026-09-02T21:05:16.704029+00:00,Paribu,TRY,48.2175,48.21,-1.56,True,
2026-09-02T21:05:16.704029+00:00,Pintu,IDR,17709.0,17723.0,7.91,True,
2026-09-02T21:05:16.704029+00:00,Foxbit,BRL,5.10325,5.10515,3.72,True,
2026-09-02T21:05:16.704029+00:00,MercadoBitcoin,BRL,5.10495,5.104,-1.86,True,
2026-09-02T22:05:14.937696+00:00,IndependentReserve,SGD,1.270805,1.27133,4.13,True,
2026-09-02T22:05:14.937696+00:00,Coins.ph,PHP,62.575,62.575,0.0,True,
2026-09-02T22:05:14.937696+00:00,BTCTurk,TRY,48.2275,48.22,-1.56,True,
2026-09-02T22:05:14.937696+00:00,Upbit,KRW,1378.0,1379.0,7.26,True,
2026-09-02T22:05:14.937696+00:00,Indodax,IDR,17692.5,17703.0,5.93,True,
2026-09-02T22:05:14.937696+00:00,Bitkub,THB,33.135,33.14,1.51,True,
2026-09-02T22:05:14.937696+00:00,Bithumb,KRW,1376.5,1377.5,7.26,True,
2026-09-02T22:05:14.937696+00:00,Coinone,KRW,1377.5,1377.5,0.0,True,
2026-09-02T22:05:14.937696+00:00,Paribu,TRY,48.2195,48.1975,-4.56,True,
2026-09-02T22:05:14.937696+00:00,Pintu,IDR,17708.0,17723.0,8.47,True,
2026-09-02T22:05:14.937696+00:00,Foxbit,BRL,5.11945,5.1201,1.27,True,
2026-09-02T22:05:14.937696+00:00,MercadoBitcoin,BRL,5.11995,5.11955,-0.78,True,
2026-09-02T23:05:20.120417+00:00,IndependentReserve,SGD,1.27097,1.271995,8.06,True,
2026-09-02T23:05:20.120417+00:00,Coins.ph,PHP,62.565,62.575,1.6,True,
2026-09-02T23:05:20.120417+00:00,BTCTurk,TRY,48.2405,48.223,-3.63,True,
2026-09-02T23:05:20.120417+00:00,Upbit,KRW,1377.0,1376.0,-7.26,True,
2026-09-02T23:05:20.120417+00:00,Indodax,IDR,17695.0,17695.5,0.28,True,
2026-09-02T23:05:20.120417+00:00,Bitkub,THB,33.135,33.14,1.51,True,
2026-09-02T23:05:20.120417+00:00,Bithumb,KRW,1376.5,1376.5,0.0,True,
